gpu_energy,time,instruction_dataset_index,run,question_tokens,response_tokens,quantization,quantization_method,model,toech_memory_allocated
15.106000000145286,0.3495004177093506,27.0,0.0,36.0,41.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
22.45099999988452,0.9404950141906738,28.0,0.0,77.0,58.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
185.79000000003725,8.348680019378662,29.0,0.0,91.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
177.20099999988452,7.929610252380371,30.0,0.0,66.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
190.5850000001956,8.238034009933472,31.0,0.0,57.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
186.73299999977465,8.423980951309204,32.0,0.0,52.0,286.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
18.571000000229105,0.6246707439422607,33.0,0.0,50.0,49.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
178.84099999978207,8.00382924079895,34.0,0.0,49.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
180.39100000006147,8.129778385162354,35.0,0.0,46.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
21.523999999975786,0.9080793857574464,36.0,0.0,54.0,59.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
45.579000000143424,1.7085778713226318,37.0,0.0,188.0,85.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
184.05799999996088,8.279875993728638,38.0,0.0,53.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
182.82700000004843,7.685542821884155,39.0,0.0,76.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
179.57400000002235,7.940063953399658,40.0,0.0,45.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
20.581000000005588,0.9162421226501464,41.0,0.0,82.0,59.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
79.38800000003539,3.523167848587036,42.0,0.0,57.0,141.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
179.41499999980442,7.752392053604126,43.0,0.0,51.0,287.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
94.62000000011176,4.319491863250732,44.0,0.0,76.0,163.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
49.54899999988265,1.9676597118377688,45.0,0.0,118.0,90.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
131.32600000011735,5.930273056030273,46.0,0.0,34.0,217.0,8-bit,"{  ""_load_in_8bit"": true,  ""load_in_8bit"": true}",HuggingFaceTB/SmolLM2-360M-Instruct,419618304
